"","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","orginalID","species","AIC"
"1",0.11042108916145,31.648,-5.629,47.062,0.486347968666183,1.2828180134243,1.87760979443614,15.414,52.691,9.22799999999999,-0.79647004475812,1,"Gossypium hirsutum","-63.9269536541692"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Gossypium hirsutum","NULL"
"3",0.107726247979614,28.88,-Inf,37.491,0.125626221859287,1.6871881630083,1.17910541223737,8.611,Inf,13.649,-1.56156194114901,3,"Camelina sativa","-42.6069254958031"
"4",0.108094120781708,30.403,-15.469,46.731,0.314514434258767,1.40888675633427,1.50476981722111,16.328,62.2,10.663,-1.09437232207551,4,"Nicotiana tabacum","-66.9270329934958"
"5",89.9666094005197,10,-Inf,50.293,NA,0.185438298475538,NA,40.293,Inf,20.801,NA,5,"Spinacia oleracea","43.6157966737899"
"6",101.640376360487,25.497,-Inf,61.611,NA,0.481254766814161,NA,36.114,Inf,19.411,NA,6,"Spinacia oleracea","43.5693435954492"
"7",88.9697713487363,24.623,-Inf,Inf,0.032519181507909,0.0212986627295777,NA,Inf,Inf,30,0.0112205187783313,7,"Ipomoea batatas","38.2884932956571"
"8",86.3431423929184,26.162,-Inf,85.076,0.0660618678328598,0.181535930478717,NA,58.914,Inf,29.896,-0.115474062645858,8,"Ipomoea batatas","39.6143785292302"
"9",78.0846815964285,25.474,-Inf,73.635,0.0646963059340952,0.250126915002035,NA,48.161,Inf,27.944,-0.18543060906794,9,"Ipomoea batatas","32.8414206809218"
"10",96.3117521370452,26.1065,-Inf,45.703,NA,0.413118911411846,NA,19.5965,Inf,20.815,NA,10,"Triticum aestivum","23.9469952315699"
"11",83.040392458243,16,-Inf,44.185,NA,0.108359757956651,NA,28.185,Inf,22.068,NA,11,"Oryza sativa","45.5880128108536"
"12",77.9591387230013,20.867,-Inf,54.3,NA,0.237410024616502,NA,33.433,Inf,20.919,NA,12,"Oryza sativa","28.6519505162553"
"13",99.5799861362518,23.892,-Inf,Inf,NA,0.0591949008113881,NA,Inf,Inf,23,NA,13,"Oryza sativa","34.8157480871075"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"Larrea tridentata","NULL"
"15",1.23234366630421,28.869,6.438,45.546,1.03608380054917,1.51088632353941,4.02881624394673,16.677,39.108,7.322,-0.474802522990238,15,"Larrea tridentata","-16.8552247242881"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"Deschampsia antarctica","NULL"
"17",0.945842635938196,24.048,-Inf,35.643,NA,1.09931696511251,NA,11.595,Inf,17.512,NA,17,"Deschampsia antarctica","-11.2513616615911"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"Pisum sativum","NULL"
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Pisum sativum","NULL"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"Quercus pubescens","NULL"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"Triticum aestivum","NULL"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"Triticum aestivum","NULL"
"23",64.2630596357689,24.071,-Inf,Inf,NA,0.0530912760837939,NA,Inf,Inf,22,NA,23,"Oryza meridionalis","39.1221557258596"
"24",0.3441995867014,31.76,-1.93,56.666,NA,0.768671775655963,NA,24.906,58.596,11.028,NA,24,"Oryza australiensis","-25.1342169779635"
"25",0.179666883030934,33.745,1.602,56.208,NA,0.643257965571967,NA,22.463,54.606,10.232,NA,25,"Oryza australiensis","-19.7921030419777"
